Order code,Quantity,Description,Link
885012207098,10,WCAP-CSGP MLCCs 50 V(DC) 0.1uF 0805,https://www.we-online.com/en/components/products/WCAP-CSGP-50VDC?sq=885012207098#885012207098
865080657018,10,WCAP-ASLI Aluminum Electrolytic Capacitors 220uF 0805,https://www.we-online.com/en/components/products/WCAP-ASLI#865080657018
61301621821,1,Socket Header Dual 16 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61301621821
61303021821,1,Socket Header Dual 30 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61303021821
61302021821,1,Socket Header Dual 20 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61302021821
61303421821,1,Socket Header Dual 32 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61303421821
61307221821,2,Socket Header Dual 72 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821?sq=61307221821#61307221821
61307221121,2,Pin Header Dual 72 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_THT_DUAL_PIN_HEADER_6130XX21121#61307221121
61304011121,1,Pin Header Single 40 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_THT_PIN_HEADER_6130XX11121#61304011121
61300211821,2,Socket Header Single 2 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_SOCKET_HEADER_6130XX11821#61300211821
560112120001,4,Resistor 10Ohm 0805,https://www.we-online.com/en/components/products/WRIS-RSKS?sq=560112120001#560112120001
